Simulation name	begin of run	end of run	SHMS angle	E	HMS P	HMS angle	NPS angle	calo distance	HMS_pol
KinC_x25_1_1	5903	5975	25.616	6.372	1.734	25.13	9.316	357	-1
KinC_x25_1_2	6733	6740	27.790	6.37	1.734	25.13	11.490	357	-1
KinC_x25_3	6570	6697	26.405	8.453	2.131	23.7	10.105	357	-1
KinC_x25_4_1	4966	5182	27.495	10.538	4.149	15.2	11.195	407	-1
KinC_x25_4_2	6940	6953	28.000	10.538	4.149	15.2	11.700	357	-1
KinC_x36_1	5977	6142	27.795	6.37	1.956	28.34	11.495	357	-1
	6724	6732	27.790	6.37	1.956	28.34	11.490	357	-1
	6770	6827	27.805	6.37	1.956	28.345	11.505	357	-1
KinC_x36_2_1	3013	3062	30.665	8.457	4.042	17.015	14.365	307	-1
KinC_x36_2_2	6874	6880	30.665	8.455	4.042	17.01	14.365	357	-1
KinC_x36_2p	2973	3012	28.775	8.458	4.042	17.015	12.475	307	-1
	3106	3113	28.769	8.456	4.042	17.01	12.469	307	-1
KinC_x36_2pp	3063	3081	32.905	8.456	4.042	17.015	16.605	307	-1
	3095	3105	32.895	8.456	4.042	17.015	16.595	307	-1
KinC_x36_3_1	2020	2183	32.261	10.538	6.117	12.385	15.961	307	-1
KinC_x36_3_2	6986	7002	32.250	10.539	6.117	12.5	15.950	357	-1
KinC_x36_4	6404	6569	26.405	8.457	2.562	24.78	10.105	357	-1
KinC_x36_5_1	2188	2295	28.417	10.538	4.637	16.435	12.117	307	-1
KinC_x36_5_2	2296	2324	30.69	10.538	4.637	16.435	14.390	307	-1
KinC_x36_5_3	3728	3782	28.497	10.538	4.637	16.44	12.197	407	-1
KinC_x36_5_4	6931	6939	28.413	10.539	4.637	16.43	12.113	357	-1
KinC_x36_5p	3990	4045	30.305	10.538	4.637	16.43	14.005	407	-1
KinC_x50_0_1	5423	5463	30.703	6.368	2.638	25.935	14.403	307	-1
KinC_x50_0_2	6710	6717	32.303	6.37	2.638	25.94	16.003	357	-1
	6750	6756	32.304	6.37	2.638	25.94	16.004	357	-1
	6850	6863	32.307	6.37	2.638	25.945	16.007	357	-1
KinC_x50_0a_1	5237	5279	30.295	6.368	2.638	25.935	13.995	407	-1
	5316	5343	30.300	6.368	2.638	25.935	14.000	407	-1
KinC_x50_0a_2	5384	5417	30.295	6.369	2.638	25.935	13.995	307	-1
KinC_x50_0b_1	5280	5315	33.905	6.368	2.638	25.935	17.605	407	-1
KinC_x50_0b_2	5355	5383	33.910	6.369	2.638	25.935	17.610	307	-1
KinC_x50_1	3150	3173	35.28	8.458	4.726	16.755	18.980	307	-1
	3196	3219	35.28	8.458	4.726	16.755	18.980	307	-1
	3243	3269	35.28	8.454	4.726	16.755	18.980	307	-1
	3295	3318	35.28	8.457	4.726	16.755	18.980	307	-1
	3353	3354	35.275	8.455	4.726	16.755	18.975	307	-1
	6867	6873	35.290	8.456	4.726	16.748	18.990	357	-1
KinC_x50_1p	3119	3149	33.385	8.456	4.726	16.755	17.085	307	-1
	3174	3195	33.385	8.456	4.726	16.755	17.085	307	-1
	3220	3242	33.388	8.454	4.726	16.755	17.088	307	-1
	3270	3294	33.39	8.455	4.726	16.755	17.090	307	-1
	3319	3352	33.388	8.456	4.726	16.755	17.088	307	-1
KinC_x50_2_1	1572	1631	36.865	10.54	6.667	12.505	20.565	307	-1
KinC_x50_2_2	1632	1702	36.885	10.539	6.667	12.493	20.585	307	-1
	1723	1752	36.865	10.538	6.667	12.51	20.565	307	-1
KinC_x50_2_3	6892	6904	36.875	10.538	6.667	12.495	20.575	357	-1
	6963	6982	36.885	10.538	6.667	12.493	20.585	357	-1
KinC_x50_2p	3783	3806	35.44	10.538	6.667	12.49	19.140	407	-1
	3834	3857	35.438	10.539	6.667	12.49	19.138	407	-1
KinC_x50_2pp	3807	3832	37.99	10.539	6.667	12.49	21.690	407	-1
	3858	3882	37.995	10.539	6.667	12.49	21.695	407	-1
KinC_x50_3_1	2325	2498	31.745	10.538	5.253	16.919	15.445	307	-1
KinC_x50_3_2	2524	2731	30.69	10.54	5.253	16.912	14.390	307	-1
KinC_x50_3_3	6912	6921	31.735	10.538	5.253	16.905	15.435	357	-1
KinC_x50_3p	3900	3943	29.74	10.539	5.253	16.925	13.440	407	-1
KinC_x50_3pp	3944	3988	33.181	10.537	5.253	16.925	16.881	407	-1
KinC_x60_1	5524	5895	30.700	6.368	1.719	39.81	14.400	357	-1
	6741	6749	30.71	6.37	1.719	39.81	14.410	357	-1
	6757	6769	30.700	6.37	1.719	39.81	14.400	357	-1
KinC_x60_2b	6185	6239	32.870	8.455	3.805	22.94	16.570	357	-1
	6240	6403	32.872	8.457	3.805	22.94	16.572	357	-1
	3389	3417	32.871	8.454	3.803	22.92	16.571	307	-1
KinC_x60_2_1	3447	3477	32.87	8.455	3.803	22.92	16.570	307	-1
	3503	3525	32.87	8.454	3.803	22.92	16.570	307	-1
	3549	3568	32.87	8.455	3.803	22.92	16.570	307	-1
	3586	3603	32.865	8.453	3.803	22.92	16.565	307	-1
	3621	3637	32.875	8.455	3.803	22.92	16.575	307	-1
	3657	3667	32.87	8.455	3.803	22.92	16.570	307	-1
KinC_x60_2_2	6881	6887	32.870	8.456	3.803	22.925	16.570	357	-1
	3418	3446	28.755	8.454	3.803	22.92	12.455	307	-1
	3478	3502	28.755	8.455	3.803	22.92	12.455	307	-1
	3526	3548	28.762	8.455	3.803	22.92	12.462	307	-1
	3569	3585	28.76	8.454	3.803	22.92	12.460	307	-1
KinC_x60_2p	3604	3615	28.755	8.454	3.803	22.92	12.455	307	-1
	3616	3620	28.76	8.454	3.803	22.92	12.460	307	-1
	3638	3655	28.75	8.455	3.803	22.92	12.450	307	-1
KinC_x60_3_1	1753	1770	35.02	10.539	5.878	16.485	18.720	307	-1
KinC_x60_3_2	1801	1957	35.02	10.539	5.878	16.47	18.720	307	-1
	1990	2019	35.02	10.539	5.878	16.488	18.720	307	-1
KinC_x60_3_3	6905	6911	36.445	10.538	5.878	16.48	20.145	357	-1
	7003	7012	36.443	10.538	5.878	16.477	20.143	357	-1
KinC_x60_3p	2767	2854	34.018	10.539	5.878	16.483	17.718	307	-1
	4048	4075	33.015	10.538	5.878	16.48	16.715	407	-1
	4106	4126	33.018	10.538	5.878	16.48	16.718	407	-1
	4146	4162	33.015	10.536	5.878	16.48	16.715	407	-1
KinC_x60_3a	4183	4202	33.02	10.538	5.878	16.48	16.720	407	-1
KinC_x60_3b	4076	4105	36.445	10.538	5.878	16.48	20.145	407	-1
	4127	4145	36.440	10.536	5.878	16.48	20.140	407	-1
	4164	4181	36.45	10.538	5.878	16.48	20.150	407	-1
	4203	4215	36.442	10.538	5.878	16.48	20.142	407	-1
KinC_x60_4a_1	4224	4252	30.37	10.538	5.038	19.35	14.070	407	-1
	4271	4299	30.370	10.538	5.038	19.35	14.070	407	-1
	4325	4348	30.378	10.538	5.038	19.35	14.078	407	-1
	4373	4394	30.368	10.538	5.038	19.35	14.068	407	-1
	4423	4428	30.372	10.538	5.038	19.35	14.072	407	-1
	4437	4459	30.373	10.537	5.038	19.35	14.073	407	-1
	4472	4482	30.378	10.538	5.038	19.345	14.078	407	-1
	4510	4517	30.372	10.537	5.038	19.345	14.072	407	-1
	4534	4550	30.372	10.538	5.038	19.345	14.072	407	-1
KinC_x60_4a_2	6923	6930	30.374	10.539	5.038	19.35	14.074	357	-1
	4253	4270	33.810	10.538	5.038	19.35	17.510	407	-1
	4300	4324	33.797	10.538	5.038	19.35	17.497	407	-1
	4349	4372	33.810	10.537	5.038	19.35	17.510	407	-1
KinC_x60_4b	4397	4422	33.802	10.539	5.038	19.35	17.502	407	-1
	4483	4509	33.810	10.536	5.038	19.345	17.510	407	-1
	4551	4568	33.812	10.537	5.038	19.345	17.512	407	-1
KinC_x36_6_1	4588	4631	23.801	10.538	2.416	26.855	7.501	407	-1
KinC_x36_6_2	4636	4952	23.801	10.538	2.416	26.855	7.501	607	-1
KinC_x36_6_3	6954	6962	26.495	10.538	2.416	26.843	10.195	357	-1
